"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-02-09,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-02-10,"BC","All","All",0,0.14
2020-02-10,"BC","Fraser","All",0,0
2020-02-10,"BC","Fraser","Fraser East",0,0
2020-02-10,"BC","Fraser","Fraser North",0,0
2020-02-10,"BC","Fraser","Fraser South",0,0
2020-02-10,"BC","Fraser","Unknown",0,0
2020-02-10,"BC","Interior","All",0,0
2020-02-10,"BC","Interior","East Kootenay",0,0
2020-02-10,"BC","Interior","Kootenay Boundary",0,0
2020-02-10,"BC","Interior","Okanagan",0,0
2020-02-10,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-10,"BC","Northern","All",0,0
2020-02-10,"BC","Northern","Northeast",0,0
2020-02-10,"BC","Northern","Northern Interior",0,0
2020-02-10,"BC","Northern","Northwest",0,0
2020-02-10,"BC","Vancouver Coastal","All",0,0.14
2020-02-10,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-10,"BC","Vancouver Coastal","Richmond",0,0
2020-02-10,"BC","Vancouver Coastal","Unknown",0,0
2020-02-10,"BC","Vancouver Coastal","Vancouver",0,0.14
2020-02-10,"BC","Vancouver Island","All",0,0
2020-02-10,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-10,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-10,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-10,"Out of Canada","Out of Canada","Out of Canada",2,0.29
2020-02-11,"BC","All","All",0,0.14
2020-02-11,"BC","Fraser","All",0,0
2020-02-11,"BC","Fraser","Fraser East",0,0
2020-02-11,"BC","Fraser","Fraser North",0,0
2020-02-11,"BC","Fraser","Fraser South",0,0
2020-02-11,"BC","Fraser","Unknown",0,0
2020-02-11,"BC","Interior","All",0,0
2020-02-11,"BC","Interior","East Kootenay",0,0
2020-02-11,"BC","Interior","Kootenay Boundary",0,0
2020-02-11,"BC","Interior","Okanagan",0,0
2020-02-11,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-11,"BC","Northern","All",0,0
2020-02-11,"BC","Northern","Northeast",0,0
2020-02-11,"BC","Northern","Northern Interior",0,0
2020-02-11,"BC","Northern","Northwest",0,0
2020-02-11,"BC","Vancouver Coastal","All",0,0.14
2020-02-11,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-11,"BC","Vancouver Coastal","Richmond",0,0
2020-02-11,"BC","Vancouver Coastal","Unknown",0,0
2020-02-11,"BC","Vancouver Coastal","Vancouver",0,0.14
2020-02-11,"BC","Vancouver Island","All",0,0
2020-02-11,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-11,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-11,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-11,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-02-12,"BC","All","All",0,0.14
2020-02-12,"BC","Fraser","All",0,0
2020-02-12,"BC","Fraser","Fraser East",0,0
2020-02-12,"BC","Fraser","Fraser North",0,0
2020-02-12,"BC","Fraser","Fraser South",0,0
2020-02-12,"BC","Fraser","Unknown",0,0
2020-02-12,"BC","Interior","All",0,0
2020-02-12,"BC","Interior","East Kootenay",0,0
2020-02-12,"BC","Interior","Kootenay Boundary",0,0
2020-02-12,"BC","Interior","Okanagan",0,0
2020-02-12,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-12,"BC","Northern","All",0,0
2020-02-12,"BC","Northern","Northeast",0,0
2020-02-12,"BC","Northern","Northern Interior",0,0
2020-02-12,"BC","Northern","Northwest",0,0
2020-02-12,"BC","Vancouver Coastal","All",0,0.14
2020-02-12,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-12,"BC","Vancouver Coastal","Richmond",0,0
2020-02-12,"BC","Vancouver Coastal","Unknown",0,0
2020-02-12,"BC","Vancouver Coastal","Vancouver",0,0.14
2020-02-12,"BC","Vancouver Island","All",0,0
2020-02-12,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-12,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-12,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-12,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-02-13,"BC","All","All",0,0
2020-02-13,"BC","Fraser","All",0,0
2020-02-13,"BC","Fraser","Fraser East",0,0
2020-02-13,"BC","Fraser","Fraser North",0,0
2020-02-13,"BC","Fraser","Fraser South",0,0
2020-02-13,"BC","Fraser","Unknown",0,0
2020-02-13,"BC","Interior","All",0,0
2020-02-13,"BC","Interior","East Kootenay",0,0
2020-02-13,"BC","Interior","Kootenay Boundary",0,0
2020-02-13,"BC","Interior","Okanagan",0,0
2020-02-13,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-13,"BC","Northern","All",0,0
2020-02-13,"BC","Northern","Northeast",0,0
2020-02-13,"BC","Northern","Northern Interior",0,0
2020-02-13,"BC","Northern","Northwest",0,0
2020-02-13,"BC","Vancouver Coastal","All",0,0
2020-02-13,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-13,"BC","Vancouver Coastal","Richmond",0,0
2020-02-13,"BC","Vancouver Coastal","Unknown",0,0
2020-02-13,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-13,"BC","Vancouver Island","All",0,0
2020-02-13,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-13,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-13,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-13,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-02-14,"BC","All","All",0,0
2020-02-14,"BC","Fraser","All",0,0
2020-02-14,"BC","Fraser","Fraser East",0,0
2020-02-14,"BC","Fraser","Fraser North",0,0
2020-02-14,"BC","Fraser","Fraser South",0,0
2020-02-14,"BC","Fraser","Unknown",0,0
2020-02-14,"BC","Interior","All",0,0
2020-02-14,"BC","Interior","East Kootenay",0,0
2020-02-14,"BC","Interior","Kootenay Boundary",0,0
2020-02-14,"BC","Interior","Okanagan",0,0
2020-02-14,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-14,"BC","Northern","All",0,0
2020-02-14,"BC","Northern","Northeast",0,0
2020-02-14,"BC","Northern","Northern Interior",0,0
2020-02-14,"BC","Northern","Northwest",0,0
2020-02-14,"BC","Vancouver Coastal","All",0,0
2020-02-14,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-14,"BC","Vancouver Coastal","Richmond",0,0
2020-02-14,"BC","Vancouver Coastal","Unknown",0,0
2020-02-14,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-14,"BC","Vancouver Island","All",0,0
2020-02-14,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-14,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-14,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-14,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-02-15,"BC","All","All",0,0
2020-02-15,"BC","Fraser","All",0,0
2020-02-15,"BC","Fraser","Fraser East",0,0
2020-02-15,"BC","Fraser","Fraser North",0,0
2020-02-15,"BC","Fraser","Fraser South",0,0
2020-02-15,"BC","Fraser","Unknown",0,0
2020-02-15,"BC","Interior","All",0,0
2020-02-15,"BC","Interior","East Kootenay",0,0
2020-02-15,"BC","Interior","Kootenay Boundary",0,0
2020-02-15,"BC","Interior","Okanagan",0,0
2020-02-15,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-15,"BC","Northern","All",0,0
2020-02-15,"BC","Northern","Northeast",0,0
2020-02-15,"BC","Northern","Northern Interior",0,0
2020-02-15,"BC","Northern","Northwest",0,0
2020-02-15,"BC","Vancouver Coastal","All",0,0
2020-02-15,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-15,"BC","Vancouver Coastal","Richmond",0,0
2020-02-15,"BC","Vancouver Coastal","Unknown",0,0
2020-02-15,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-15,"BC","Vancouver Island","All",0,0
