#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, Mar 1, 2022 at 10:41:54.023
92	Split	00:00:00.167	00:00:34.748	Tue, Mar 1, 2022 at 10:42:28.771
93	Split	00:00:00.172	00:00:34.920	Tue, Mar 1, 2022 at 10:42:28.943
94	Split	00:00:00.158	00:00:35.078	Tue, Mar 1, 2022 at 10:42:29.101
95	Split	00:00:00.181	00:00:35.259	Tue, Mar 1, 2022 at 10:42:29.282
96	Split	00:00:00.179	00:00:35.438	Tue, Mar 1, 2022 at 10:42:29.461
97	Split	00:00:00.170	00:00:35.608	Tue, Mar 1, 2022 at 10:42:29.631
98	Split	00:00:00.189	00:00:35.797	Tue, Mar 1, 2022 at 10:42:29.820
99	Split	00:00:00.152	00:00:35.949	Tue, Mar 1, 2022 at 10:42:29.972
100	Split	00:00:00.186	00:00:36.135	Tue, Mar 1, 2022 at 10:42:30.158
101	Split	00:00:00.171	00:00:36.306	Tue, Mar 1, 2022 at 10:42:30.329
102	Split	00:00:00.175	00:00:36.481	Tue, Mar 1, 2022 at 10:42:30.504
103	Split	00:00:00.171	00:00:36.652	Tue, Mar 1, 2022 at 10:42:30.675
104	Split	00:00:00.174	00:00:36.826	Tue, Mar 1, 2022 at 10:42:30.849
105	Split	00:00:00.173	00:00:36.999	Tue, Mar 1, 2022 at 10:42:31.022
106	Split	00:00:00.182	00:00:37.181	Tue, Mar 1, 2022 at 10:42:31.204
107	Split	00:00:00.161	00:00:37.342	Tue, Mar 1, 2022 at 10:42:31.365
108	Split	00:00:00.176	00:00:37.518	Tue, Mar 1, 2022 at 10:42:31.541
109	Split	00:00:00.186	00:00:37.704	Tue, Mar 1, 2022 at 10:42:31.727
110	Split	00:00:00.174	00:00:37.878	Tue, Mar 1, 2022 at 10:42:31.901
111	Split	00:00:00.178	00:00:38.056	Tue, Mar 1, 2022 at 10:42:32.079
112	Split	00:00:00.252	00:00:38.308	Tue, Mar 1, 2022 at 10:42:32.331
113	Split	00:00:00.173	00:00:38.481	Tue, Mar 1, 2022 at 10:42:32.504
114	Split	00:00:00.177	00:00:38.658	Tue, Mar 1, 2022 at 10:42:32.681
115	Split	00:00:00.198	00:00:38.856	Tue, Mar 1, 2022 at 10:42:32.879
